SRR2926782	WRKY_tnt.WRKY40_colamp_a
SRR2926781	WRKY_tnt.WRKY33_col_a
SRR2926780	WRKY_tnt.WRKY31_col_a
SRR2926779	WRKY_tnt.WRKY31_colamp_a
SRR2926778	WRKY_tnt.WRKY30_col_a
SRR2926777	WRKY_tnt.WRKY30_colamp_a
SRR2926776	WRKY_tnt.WRKY3_col_a
SRR2926775	WRKY_tnt.WRKY29_col_a
SRR2926774	WRKY_tnt.WRKY29_colamp_a
SRR2926773	WRKY_tnt.WRKY28_col_a
SRR2926772	WRKY_tnt.WRKY28_colamp_a
SRR2926771	WRKY_tnt.WRKY27_col_a
SRR2926770	WRKY_tnt.WRKY27_colamp_a
SRR2926769	WRKY_tnt.WRKY26_col_a
SRR2926768	WRKY_tnt.WRKY26_colamp_a
SRR2926767	WRKY_tnt.WRKY25_col_a
SRR2926766	WRKY_tnt.WRKY25_colamp_a
SRR2926765	WRKY_tnt.WRKY24_col_a
SRR2926764	WRKY_tnt.WRKY24_colamp_a
SRR2926763	WRKY_tnt.WRKY22_colamp_a
SRR2926762	WRKY_tnt.WRKY21_colamp_a
SRR2926761	WRKY_tnt.WRKY20_col_a
SRR2926760	WRKY_tnt.WRKY18_col_a
SRR2926759	WRKY_tnt.WRKY18_colamp_a
SRR2926758	WRKY_tnt.WRKY17_col_a
SRR2926757	WRKY_tnt.WRKY17_colamp_a
SRR2926756	WRKY_tnt.WRKY15_col_b
SRR2926755	WRKY_tnt.WRKY15_colamp_a
SRR2926754	WRKY_tnt.WRKY14_col_a
SRR2926753	WRKY_tnt.WRKY14_colamp_a
SRR2926752	WRKY_tnt.WRKY11_col_a
SRR2926751	Trihelix_tnt.GTL1_col_a
SRR2926750	Trihelix_tnt.GTL1_colamp_a
SRR2926749	Trihelix_tnt.GT3a_col_a
SRR2926748	Trihelix_tnt.GT2_col_a
SRR2926747	Trihelix_tnt.GT2_colamp_a
SRR2926746	Trihelix_tnt.GT1_col_a
SRR2926745	Trihelix_tnt.AT5G47660_col_a
SRR2926744	Trihelix_tnt.AT5G47660_colamp_a
SRR2926743	Trihelix_tnt.AT5G05550_col_a
SRR2926742	Trihelix_tnt.AT5G05550_colamp_a
SRR2926741	Trihelix_tnt.AT3G58630_col_a
SRR2926740	Trihelix_tnt.AT3G58630_colamp_a
SRR2926739	Trihelix_tnt.AT3G25990_col_a
SRR2926738	Trihelix_tnt.AT3G25990_colamp_a
SRR2926737	Trihelix_tnt.AT3G10030_col_a
SRR2926736	Trihelix_tnt.AT3G10030_colamp_a
SRR2926735	Trihelix_tnt.AT2G33550_col_a
SRR2926734	Trihelix_tnt.AT2G33550_colamp_a
SRR2926733	Trihelix_tnt.AT1G76880_col_a
SRR2926732	Trihelix_tnt.AT1G76870_col_b
SRR2926731	TCP_tnt.TCP7_col_a
SRR2926730	TCP_tnt.TCP3_colamp_a
SRR2926729	TCP_tnt.TCP24_colamp_a
SRR2926728	TCP_tnt.TCP20_col_a
SRR2926727	TCP_tnt.TCP20_colamp_a
SRR2926726	TCP_tnt.TCP17_col_a
SRR2926725	TCP_tnt.TCP17_colamp_a
SRR2926724	TCP_tnt.TCP16_col_a
SRR2926723	TCP_tnt.TCP16_colamp_a
SRR2926722	TCP_tnt.TCP14_col_b
SRR2926721	TCP_tnt.TCP1_col_a
SRR2926720	TCP_tnt.PTF1_col_a
SRR2926719	TCP_tnt.PTF1_colamp_a
SRR2926718	TCP_tnt.At5g08330_col_a
SRR2926717	TCP_tnt.At5g08330_colamp_a
SRR2926716	TCP_tnt.At2g45680_col_b
SRR2926715	TCP_tnt.At2g45680_colamp_a
SRR2926714	TCP_tnt.At1g72010_colamp_a
SRR2926713	TCP_tnt.At1g69690_col_a
SRR2926712	TCP_tnt.At1g69690_colamp_a
SRR2926711	SRS_tnt.SRS7_col_a
SRR2926710	SRS_tnt.SRS7_colamp_a
SRR2926709	SBP_tnt.SPL9_col_a
SRR2926708	SBP_tnt.SPL9_colamp_a
SRR2926707	SBP_tnt.SPL5_col_a
SRR2926706	SBP_tnt.SPL5_colamp_a
SRR2926705	SBP_tnt.SPL3_col_a
SRR2926704	SBP_tnt.SPL3_colamp_a
SRR2926703	SBP_tnt.SPL15_col_a
SRR2926702	SBP_tnt.SPL15_colamp_a
SRR2926701	SBP_tnt.SPL14_col_a
SRR2926700	SBP_tnt.SPL13_col_a
SRR2926699	SBP_tnt.SPL11_col100_a
SRR2926698	SBP_tnt.SPL1_col_a
SRR2926697	SBP_tnt.SPL1_colamp_a
SRR2926696	S1Falike_tnt.AT3G09735_col_a
SRR2926695	RWPRK_tnt.RKD2_col_a
SRR2926694	RWPRK_tnt.RKD2_colamp_a
SRR2926693	RWPRK_tnt.NLP7_col_a
SRR2926692	REMB3_tnt.AT2G31460_col_a
SRR2926691	REM_tnt.REM19_col_a
SRR2926690	REM_tnt.REM19_colamp_a
SRR2926689	RAV_tnt.RAV1_colamp_a
SRR2926688	PLATZ_tnt.AT2G01818_col_a
SRR2926687	Orphan_tnt.BBX31_col_a
SRR2926686	Orphan_tnt.AT1G24250_col_a
SRR2926685	Orphan_tnt.AT1G23810_col_a
SRR2926684	NLP_tnt.AtNLP4_col_b
SRR2926683	ND_tnt.FRS9_col_a
SRR2926682	ND_tnt.FRS9_colamp_a
SRR2926681	ND_tnt.AT2G28920_col_a
SRR2926680	ND_tnt.AT1G63040_col_a
SRR2926679	ND_tnt.ASHR1_col_a
SRR2926678	ND_tnt.AGL95_col_a
SRR2926677	NAC_tnt.VND6_col_v31
SRR2926676	NAC_tnt.VND6_colamp_a
SRR2926675	NAC_tnt.VND4_colamp_a
SRR2926674	NAC_tnt.VND3_colamp_a
SRR2926673	NAC_tnt.VND2_col_a
SRR2926672	NAC_tnt.VND2_colamp_a
SRR2926671	NAC_tnt.VND1_col_a
SRR2926670	NAC_tnt.SND3_col_b
SRR2926669	NAC_tnt.SND3_colamp_a
SRR2926668	NAC_tnt.SND2_col_a
SRR2926667	NAC_tnt.SND2_colamp_a
SRR2926666	NAC_tnt.SMB_col_a
SRR2926665	NAC_tnt.SMB_colamp_a
SRR2926664	NAC_tnt.NTM2_col_b
SRR2926663	NAC_tnt.NTM1_col_a
SRR2926662	NAC_tnt.NTM1_colamp_a
SRR2926661	NAC_tnt.NST1_col_v31
SRR2926660	NAC_tnt.NST1_colamp_a
SRR2926659	NAC_tnt.NAP_col_v3a
SRR2926658	NAC_tnt.NAP_colamp_a
SRR2926657	NAC_tnt.NAM_col_v3a
SRR2926656	NAC_tnt.NAM_colamp_a
SRR2926655	NAC_tnt.NAC2_col_v3a
SRR2926654	NAC_tnt.NAC2_colamp_a
SRR2926653	NAC_tnt.CUC3_col_a
SRR2926652	NAC_tnt.CUC3_colamp_a
SRR2926651	NAC_tnt.CUC2_colamp_a
SRR2926650	NAC_tnt.CUC1_col_v31
SRR2926649	NAC_tnt.CUC1_colamp_a
SRR2926648	NAC_tnt.ATAF1_col_a
SRR2926647	NAC_tnt.ATAF1_colamp_a
SRR2926646	NAC_tnt.AT3G12910_col_a
SRR2926645	NAC_tnt.AT1G19040_col_a
SRR2926644	NAC_tnt.ANAC103_col_a
SRR2926643	NAC_tnt.ANAC103_colamp_a
SRR2926642	NAC_tnt.ANAC096_colamp_a
SRR2926641	NAC_tnt.ANAC094_col_a
SRR2926640	NAC_tnt.ANAC092_col_v3a
SRR2926639	NAC_tnt.ANAC092_colamp_a
SRR2926638	NAC_tnt.ANAC087_col_v3a
SRR2926637	NAC_tnt.ANAC087_colamp_a
SRR2926636	NAC_tnt.ANAC083_col_v3a
SRR2926635	NAC_tnt.ANAC083_colamp_a
SRR2926634	NAC_tnt.ANAC079_colamp_a
SRR2926633	NAC_tnt.ANAC075_col_a
SRR2926632	NAC_tnt.ANAC071_col_a
SRR2926631	NAC_tnt.ANAC071_colamp_a
SRR2926630	NAC_tnt.ANAC070_colamp_a
SRR2926629	NAC_tnt.ANAC062_colamp_a
SRR2926628	NAC_tnt.ANAC058_col_a
SRR2926627	NAC_tnt.ANAC058_colamp_a
SRR2926626	NAC_tnt.ANAC057_col_a
SRR2926625	NAC_tnt.ANAC057_colamp_a
SRR2926624	NAC_tnt.ANAC053_colamp_a
SRR2926623	NAC_tnt.ANAC050_col_v3a
SRR2926622	NAC_tnt.ANAC050_colamp_a
SRR2926621	NAC_tnt.ANAC047_colamp_a
SRR2926620	NAC_tnt.ANAC046_colamp_a
SRR2926619	NAC_tnt.ANAC045_col_a
SRR2926618	NAC_tnt.ANAC045_colamp_a
SRR2926617	NAC_tnt.ANAC042_col_a
SRR2926616	NAC_tnt.ANAC038_col_a
SRR2926615	NAC_tnt.ANAC038_colamp_a
SRR2926614	NAC_tnt.ANAC028_col_a
SRR2926613	NAC_tnt.ANAC020_col_v31
SRR2926612	NAC_tnt.ANAC017_colamp_v31
SRR2926611	NAC_tnt.ANAC016_col_a
SRR2926610	NAC_tnt.ANAC016_colamp_a
SRR2926609	NAC_tnt.ANAC013_col_a
SRR2926608	NAC_tnt.ANAC013_colamp_a
SRR2926607	NAC_tnt.ANAC011_col_a
SRR2926606	NAC_tnt.ANAC005_col_a
SRR2926605	NAC_tnt.ANAC004_col_a
SRR2926604	NAC_tnt.ANAC004_colamp_a
SRR2926603	MYBrelated_tnt.TRP2_col_a
SRR2926602	MYBrelated_tnt.TRP2_colamp_a
SRR2926601	MYBrelated_tnt.TBP3_col_a
SRR2926600	MYBrelated_tnt.TBP3_colamp_a
SRR2926599	MYBrelated_tnt.RVE1_col_a
SRR2926598	MYBrelated_tnt.RVE1_colamp_a
SRR2926597	MYBrelated_tnt.LHY1_col_a
SRR2926596	MYBrelated_tnt.LHY1_colamp_a
SRR2926595	MYBrelated_tnt.LCL1_colamp_a
SRR2926594	MYBrelated_tnt.EPR1_colamp_a
SRR2926593	MYBrelated_tnt.At5g58900_col_a
SRR2926592	MYBrelated_tnt.At5g58900_colamp_a
SRR2926591	MYBrelated_tnt.At5g52660_col_a
SRR2926590	MYBrelated_tnt.At5g52660_colamp_a
SRR2926589	MYBrelated_tnt.At5g47390_col_b
SRR2926588	MYBrelated_tnt.At5g47390_colamp_a
SRR2926587	MYBrelated_tnt.At5g08520_col_b
SRR2926586	MYBrelated_tnt.At5g08520_colamp_a
SRR2926585	MYBrelated_tnt.At5g05790_col_a
SRR2926584	MYBrelated_tnt.At4g01280_col_a
SRR2926583	MYBrelated_tnt.At4g01280_colamp_a
SRR2926582	MYBrelated_tnt.At3g11280_col_a
SRR2926581	MYBrelated_tnt.At3g11280_colamp_a
SRR2926580	MYBrelated_tnt.At3g09600_col_a
SRR2926579	MYBrelated_tnt.At3g09600_colamp_a
SRR2926578	MYBrelated_tnt.At2g38090_col_a
SRR2926577	MYBrelated_tnt.At1g74840_colamp_a
SRR2926576	MYBrelated_tnt.At1g74840_col100_a
SRR2926575	MYBrelated_tnt.At1g49010_col_a
SRR2926574	MYBrelated_tnt.At1g49010_colamp_a
